"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:28:27,8932360","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\wdmaud.drv","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8933483","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\System32\wdmaud.drv","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8943033","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\Custom\NvCameraAllowlisting64.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:28:27,8943821","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Windows\system32\NvCamera\NvCameraAllowlisting64.dll","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"16:28:27,8946139","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8947279","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8949364","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8951118","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8953931","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:28:27,8957705","ReadyOrNotSteam-Win64-Shipping.exe","6768","CreateFile","C:\Program Files\NVIDIA Corporation\Ansel\NvCameraAllowlisting64.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
